"nonecholoc","loc","nmethods","ccomdeep","ccom","nest","hvol","nIncomingCalls","nIncomingCallsUniq","nOutgoingInternCalls","nOutgoingExternFlsCalled","nOutgoingExternFlsCalledUniq","nOutgoingExternCallsUniq","IsVulnerable"
4,4,0,1,1,0,3.295837,0,0,0,2,2,2,0
126,126,9,26,26,4,1402.860242,18,6,2,18,8,35,1
168,168,10,29,29,3,1455.886047,4,4,8,19,9,32,0
412,412,35,77,77,5,4929.759092,361,119,23,30,12,30,1
10,10,3,1,1,0,29.933606,54,33,0,0,0,0,0
53,53,3,16,16,4,583.077082,53,32,1,14,6,24,0
1355,1355,92,251,251,8,17945.965957,698,147,38,62,19,137,1
162,162,13,31,31,3,1702.979471,59,34,4,24,10,16,1
172,172,21,29,29,2,1854.861855,113,77,7,17,5,35,0
131,131,19,14,14,1,1455.233779,176,79,3,16,6,25,0
135,135,19,14,14,1,1510.92165,176,79,3,16,6,25,0
328,328,42,51,51,2,4440.292656,286,84,15,27,6,67,0
381,381,27,84,84,6,5256.537429,48,15,16,24,9,82,1
896,896,70,197,197,6,13130.980189,107,51,27,38,11,108,1
107,107,9,18,18,3,941.851147,1,1,3,4,4,14,0
77,77,9,13,13,3,917.133182,8,4,3,4,3,4,0
361,361,22,86,86,6,4169.194619,33,9,8,26,10,39,0
60,60,2,11,11,1,360.581835,0,0,1,2,2,16,0
59,59,2,10,10,1,413.193359,0,0,1,2,2,16,0
74,74,2,16,16,1,473.459627,0,0,1,2,2,18,0
68,68,3,20,20,3,504.585398,2,2,1,3,1,9,0
1401,1401,61,198,198,10,15882.766237,6,3,29,46,18,331,1
192,192,8,23,23,4,1815.55163,5,4,6,9,4,13,0
1056,1056,67,236,236,7,13913.40327,76,29,46,45,16,130,0
186,186,16,48,48,9,1998.310761,133,53,8,18,8,28,0
157,157,9,33,33,4,1878.862577,21,21,2,12,6,32,1
77,77,9,20,20,6,754.884197,75,55,3,8,6,11,0
65,65,10,10,10,2,653.195309,4,2,1,12,5,21,1
66,66,7,17,17,3,657.829853,14,10,4,5,3,5,1
726,726,45,196,196,6,10919.799793,101,76,15,61,21,123,1
142,142,6,20,20,2,1389.102443,2,2,1,27,9,61,1
232,232,18,52,52,6,2580.135314,37,24,6,2,1,4,0
285,285,20,35,35,3,2853.136725,8,2,12,4,3,4,0
181,181,11,30,30,4,1282.611398,1,1,5,7,2,24,0
18,18,0,4,4,2,39.758506,0,0,0,7,4,7,0
655,655,27,90,90,5,6547.947692,1,1,15,60,20,237,0
5,6,0,1,1,0,51.986039,0,0,0,1,1,2,0
8,11,0,4,4,1,83.926335,0,0,0,1,1,1,0
2,2,0,2,2,1,35.026383,0,0,0,0,0,0,0
4,5,0,1,1,0,23.292873,0,0,0,1,1,1,0
2,3,0,1,1,0,9.704061,0,0,0,0,0,0,0
194,194,12,28,28,3,1567.898922,0,0,1,26,11,126,1
220,220,3,1,1,0,97.733752,0,0,0,4,2,38,0
584,584,24,79,79,7,4584.731294,5,2,4,39,14,134,1
238,238,20,38,38,4,2817.915225,0,0,3,33,13,130,0
24,24,0,6,6,3,358.390619,0,0,0,4,1,11,0
252,252,13,27,27,2,2411.279463,0,0,1,40,15,104,0
169,169,1,1,1,0,44.36142,0,0,0,2,1,25,0
277,277,13,48,48,6,2895.401752,3,2,4,35,15,76,1
117,117,10,14,14,4,1086.983369,0,0,0,23,12,53,1
59,59,4,11,11,2,541.11136,0,0,0,20,11,53,0
5,5,1,1,1,0,6.931472,0,0,0,2,2,2,0
436,436,33,61,61,4,4384.602135,0,0,12,33,14,110,1
3,4,0,2,2,1,16.094379,0,0,0,0,0,0,0
9,12,0,3,3,1,101.881173,0,0,0,0,0,0,1
7,10,0,6,6,3,135.942316,0,0,0,1,1,6,0
4,5,0,1,1,0,35.350506,0,0,0,0,0,0,0
150,150,10,15,15,3,1202.324153,0,0,3,21,10,56,1
173,173,5,19,19,5,762.626599,0,0,1,24,9,45,0
612,612,38,98,98,4,6264.188923,11,2,22,44,15,133,0
108,108,10,14,14,2,1033.121987,0,0,0,32,15,49,1
21,21,1,4,4,3,43.668272,0,0,0,1,1,4,0
361,361,20,64,64,6,6234.914725,1,1,14,25,6,75,1
2,3,0,1,1,0,25.296832,0,0,0,1,1,1,0
2,3,0,1,1,0,4.394449,0,0,0,0,0,0,0
149,149,11,19,19,3,1672.365087,0,0,1,32,16,87,0
183,183,6,4,4,2,242.4453,0,0,0,11,6,33,0
1053,1053,57,143,143,7,11260.44761,11,5,21,68,18,367,1
43,43,2,11,11,5,469.00595,0,0,0,18,10,42,1
9,12,0,3,3,1,89.456639,0,0,0,0,0,0,0
119,119,7,10,10,3,680.777221,0,0,0,18,9,68,1
64,64,3,1,1,0,35.350506,0,0,0,4,2,12,0
143,143,7,8,8,3,807.336638,1,1,0,10,8,40,1
143,143,7,15,15,3,1021.869962,0,0,0,22,12,61,0
197,197,10,21,21,3,1364.326244,0,0,3,21,13,71,0
87,87,3,1,1,0,36.972293,0,0,0,3,1,14,0
97,97,9,7,7,1,377.504631,1,1,0,16,8,21,1
219,219,16,33,33,3,2409.975845,0,0,0,34,15,113,0
83,83,1,1,1,0,26.339593,0,0,0,2,1,13,0
666,666,35,90,90,7,7004.777136,37,23,17,31,13,184,1
31,31,2,11,11,4,176.666339,0,0,0,4,4,6,0
