"nonecholoc","loc","nmethods","ccomdeep","ccom","nest","hvol","nIncomingCalls","nIncomingCallsUniq","nOutgoingInternCalls","nOutgoingExternFlsCalled","nOutgoingExternFlsCalledUniq","nOutgoingExternCallsUniq","IsVulnerable"
140,153,0,18,18,3,1942.095421,0,0,0,14,8,19,0
30,31,0,9,9,7,496.504074,0,0,0,12,9,20,0
33,33,0,6,6,2,264.477039,0,0,0,5,5,2,0
22,24,0,6,6,3,167.833022,0,0,0,5,5,2,0
11,12,0,1,1,0,59.63776,0,0,0,0,0,0,0
44,48,0,2,2,1,74.859896,0,0,0,0,0,0,1
7,7,0,1,1,0,9.704061,0,0,0,1,1,1,0
16,16,0,1,1,0,17.32868,0,0,0,0,0,0,0
25,25,0,4,4,2,186.603453,0,0,0,11,6,9,0
138,149,0,36,36,4,1678.960033,0,0,0,23,11,30,0
35,35,0,5,5,2,272.72759,0,0,0,5,4,3,0
8,9,0,1,1,0,12.875503,0,0,0,0,0,0,0
303,327,0,77,77,7,4200.739126,0,0,0,55,24,82,0
63,82,0,14,14,4,774.580555,0,0,0,9,6,14,0
438,486,1,106,106,8,7936.692932,0,0,1,33,16,43,0
148,151,1,21,21,4,1792.935255,0,0,1,14,5,25,1
14,14,0,2,2,1,54.161004,0,0,0,1,1,1,1
335,355,0,66,66,4,5385.286142,0,0,0,26,17,41,0
95,101,0,19,19,4,1364.181002,0,0,0,16,9,24,0
19,21,0,5,5,1,170.531934,0,0,0,1,1,2,1
348,350,1,120,120,7,4508.437122,15,15,0,117,31,65,0
262,262,0,70,70,6,2937.228613,0,0,0,27,13,56,0
15,15,0,3,3,2,69.538963,0,0,0,1,1,1,0
63,71,0,14,14,2,662.955779,0,0,0,6,5,22,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1581,1581,0,1,1,0,11627.619419,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1583,1583,0,1,1,0,11653.716225,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1583,1583,0,1,1,0,11653.716225,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1582,1582,0,1,1,0,11645.350096,0,0,0,0,0,0,0
1579,1579,0,1,1,0,11620.255505,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
1580,1580,0,1,1,0,11628.619736,0,0,0,0,0,0,0
475,475,33,103,103,7,4998.761118,70,55,24,24,18,120,0
148,156,17,15,15,4,1167.004968,66,57,13,14,9,20,1
122,126,20,24,24,4,743.921433,23,20,10,15,8,14,1
502,503,36,92,92,8,5366.348693,55,44,23,24,16,40,0
327,327,35,51,51,3,3156.847337,116,52,24,35,22,39,0
39,39,7,8,8,2,219.925498,24,21,3,94,90,4,0
214,214,11,56,56,7,2228.90237,23,19,8,115,97,30,0
229,229,36,29,29,3,1613.908552,173,70,19,4,4,3,0
34,34,3,4,4,1,83.926335,0,0,1,0,0,0,0
16,16,2,3,3,1,54.667946,3,2,1,2,1,2,0
171,171,15,19,19,3,1319.741244,45,30,4,19,11,10,0
527,527,25,96,96,5,7905.842609,105,71,14,53,22,188,0
117,118,17,14,14,2,954.143762,56,36,10,22,12,24,0
157,157,18,25,25,3,1294.889269,23,20,11,35,24,15,0
419,419,19,59,59,4,4882.620732,23,12,13,11,9,69,0
41,43,4,7,7,3,261.892198,10,6,0,7,7,5,0
233,252,7,60,60,5,2443.787666,9,6,5,31,20,46,0
86,89,4,26,26,7,661.609451,9,5,1,15,13,27,0
63,63,4,15,15,3,356.970798,9,5,1,7,7,6,0
1,2,0,1,1,0,0,0,0,0,0,0,0,0
116,125,3,37,37,4,1131.20678,2,1,1,17,8,17,1
223,223,15,35,35,5,1881.064048,8,1,3,1,1,1,0
262,262,13,56,56,5,2903.165366,10,5,6,26,12,84,0
386,386,7,16,16,3,4540.62812,3,2,5,2,2,6,0
61,61,5,7,7,1,509.82729,7,3,1,8,5,23,1
126,126,3,33,33,6,924.035424,3,3,0,1,1,3,0
64,64,1,11,11,5,479.971988,0,0,1,14,4,19,0
15,15,1,7,7,3,192.658507,1,1,0,0,0,0,0
358,358,0,77,77,7,3149.294789,0,0,0,70,33,76,1
1188,1209,54,252,252,6,19333.25457,343,115,20,40,19,62,1
688,688,0,2,2,1,424.064343,0,0,0,0,0,0,0
220,220,12,56,56,7,2061.141089,58,37,4,15,7,10,0
601,601,26,123,123,7,7316.045343,166,86,6,28,12,70,0
28,28,0,7,7,2,296.095269,0,0,0,9,7,11,0
28,30,0,4,4,2,292.954737,0,0,0,7,3,8,0
113,113,1,36,36,7,1204.486042,0,0,1,18,7,28,0
85,85,0,15,15,2,567.941217,0,0,0,7,5,9,0
32,34,0,5,5,3,336.718541,0,0,0,7,3,9,0
63,63,2,10,10,2,600.947761,1,1,1,4,3,4,0
43,43,0,17,17,4,309.791216,0,0,0,12,4,11,0
12,12,0,4,4,2,45.56001,0,0,0,7,3,6,0
206,206,21,47,47,3,2207.690111,270,78,1,12,9,9,0
263,263,20,60,60,2,2770.09307,269,77,1,11,9,8,0
22,23,0,3,3,1,191.804914,0,0,0,1,1,1,0
15,18,0,3,3,1,119.221315,0,0,0,3,3,4,0
13,15,0,3,3,1,95.382268,0,0,0,2,2,2,0
107,131,2,27,27,3,1416.136101,0,0,2,18,9,24,0
94,119,0,23,23,3,1350.159386,0,0,0,22,10,27,0
34,34,4,6,6,2,159.64673,3,3,0,3,3,1,0
38,48,2,10,10,2,296.322033,2,2,0,1,1,1,0
1113,1166,12,249,249,11,20534.182733,2,1,9,73,28,152,1
35,35,0,10,10,3,390.900621,0,0,0,1,1,4,0
46,46,3,1,1,0,5.545177,3,2,0,0,0,0,0
4,4,0,1,1,0,0,0,0,0,0,0,0,0
6,6,1,1,1,0,0,1,1,0,0,0,0,0
3,3,0,1,1,0,0,0,0,0,0,0,0,0
244,244,10,5,5,1,1111.889405,8,3,1,5,3,20,0
9,9,1,1,1,0,0,1,1,0,0,0,0,0
3,3,0,1,1,0,0,0,0,0,0,0,0,0
7,7,1,1,1,0,1.386294,1,1,0,0,0,0,0
44,44,1,1,1,0,9.010913,1,1,0,0,0,0,0
14,14,3,1,1,0,3.295837,3,2,0,0,0,0,0
66,66,1,1,1,0,17.32868,1,1,0,0,0,0,0
183,183,19,35,35,4,1651.826885,26,21,9,9,7,19,0
103,103,7,20,20,7,829.615209,7,2,0,10,4,8,0
24,24,0,3,3,1,12.542316,0,0,0,0,0,0,0
171,171,8,41,41,5,1897.551948,8,2,0,22,9,34,0
250,250,9,54,54,4,3090.069195,8,2,1,23,9,38,0
76,76,7,13,13,3,439.550362,7,2,0,4,4,3,0
131,131,7,15,15,9,987.81093,7,2,0,15,5,9,0
228,228,8,37,37,6,2302.670458,8,2,0,27,10,25,0
239,239,14,41,41,6,3583.130597,11,4,4,23,5,41,0
72,72,7,10,10,5,628.175479,7,2,0,10,4,9,0
545,545,12,125,125,8,8024.59116,10,4,5,53,26,167,0
172,172,8,38,38,5,1754.603452,8,2,0,22,9,28,0
82,82,7,12,12,6,752.757838,7,2,0,34,27,26,0
82,82,7,12,12,6,752.757838,7,2,0,34,27,26,0
184,184,7,31,31,7,2295.985552,7,2,0,19,7,25,0
70,70,7,12,12,4,534.486755,7,2,0,10,4,9,0
43,43,3,14,14,3,346.154249,5,3,1,1,1,1,0
58,74,0,17,17,2,657.739391,0,0,0,11,8,25,0
57,57,1,15,15,3,366.20085,0,0,1,1,1,3,0
73,76,0,15,15,6,500.743194,0,0,0,9,7,9,0
14,14,0,5,5,1,69.577386,0,0,0,0,0,0,0
17,21,0,6,6,1,167.641562,0,0,0,2,2,2,0
26,27,0,4,4,1,338.53061,0,0,0,5,4,5,0
68,71,0,11,11,2,433.32684,0,0,0,5,5,7,0
34,34,1,4,4,1,161.944144,2,2,0,0,0,0,0
253,253,0,64,64,6,2597.114121,0,0,0,11,6,35,0
54,54,0,11,11,3,652.931663,0,0,0,5,3,20,0
69,69,0,20,20,4,504.650968,0,0,0,15,7,14,0
133,133,0,37,37,9,1261.632804,0,0,0,15,11,18,0
167,167,0,41,41,6,1770.175593,0,0,0,7,6,8,0
33,33,1,8,8,2,167.761007,1,1,0,1,1,1,0
21,21,1,4,4,1,64.607573,1,1,0,0,0,0,0
41,41,1,8,8,2,176.666339,1,1,0,1,1,1,0
73,73,0,14,14,5,669.580176,0,0,0,27,16,17,0
73,73,0,14,14,5,669.580176,0,0,0,27,16,17,0
125,125,0,31,31,5,1128.390833,0,0,0,11,7,14,0
454,454,13,126,126,10,6149.429614,30,9,8,16,10,44,0
124,124,0,1,1,0,0,0,0,0,0,0,0,0
66,66,3,20,20,4,573.671993,1,1,2,4,4,7,0
17,17,2,2,2,1,55.151591,24,23,1,1,1,1,0
59,59,5,9,9,1,483.590137,4,4,3,0,0,0,0
6,6,1,2,2,1,12.875503,3,3,0,0,0,0,0
311,313,0,51,51,7,2869.135479,0,0,0,22,11,52,0
315,315,5,30,30,4,1958.833932,21,17,1,11,6,30,0
61,67,0,13,13,3,618.630563,0,0,0,6,6,8,0
24,24,3,7,7,3,92.491896,5,5,1,0,0,0,0
79,79,1,2,2,1,259.059885,2,2,0,2,1,6,0
17,17,0,6,6,2,105.999803,0,0,0,2,1,2,0
173,173,9,39,39,8,2201.822354,11,3,5,3,3,4,0
484,485,21,105,105,10,6953.21912,99,50,9,29,11,121,0
95,95,3,16,16,1,1056.788577,7,3,0,4,2,89,0
190,190,7,25,25,4,1887.75378,6,2,1,21,6,23,0
256,309,6,21,21,4,2848.834912,6,2,1,9,6,8,0
39,39,1,5,5,3,91.495428,11,11,0,0,0,0,0
194,194,4,39,39,3,863.277825,1,1,4,5,4,7,0
47,58,1,19,19,4,417.020731,4,4,0,4,3,3,0
14,14,0,4,4,1,63.588179,0,0,0,5,4,4,0
56,56,0,6,6,1,272.095791,0,0,0,3,1,3,0
653,665,21,246,246,12,15055.5062,27,2,12,14,6,93,1
34,34,1,7,7,2,209.765536,0,0,0,4,3,6,0
256,273,4,39,39,4,2651.061031,5,5,3,19,12,26,0
1175,1175,0,3,3,1,46.036853,0,0,0,0,0,0,0
1288,1288,16,273,273,10,15141.443864,37,16,6,12,8,32,1
125,125,19,5,5,2,1159.724762,22,18,6,1,1,2,0
21,21,1,6,6,3,107.846362,1,1,0,5,1,5,0
